ws,hs,wa,ha,a0,a1,a2,a3,direction
432,160,656,160,0,1,0,0,1
440,160,656,160,0,1,0,0,1
448,160,656,160,0,1,0,0,1
456,160,656,160,0,1,0,0,1
464,160,656,160,0,1,0,0,1
472,160,656,160,0,1,0,0,1
480,160,656,160,0,1,0,0,1
488,160,656,160,0,1,0,0,1
496,160,656,160,0,1,0,0,1
504,160,656,160,0,1,0,0,1
512,160,656,160,0,1,0,0,1
520,160,656,160,0,1,0,0,1
528,160,656,160,0,1,0,0,1
536,160,656,160,0,1,0,0,1
544,160,656,160,0,1,0,0,1
552,160,656,160,0,1,0,0,1
560,160,656,160,0,1,0,0,1
568,160,656,160,0,1,0,0,1
576,160,656,160,0,1,0,0,1
584,160,656,160,0,1,0,0,1
592,160,656,160,0,1,0,0,1
600,160,656,160,0,1,0,0,1
608,160,656,160,0,1,0,0,1
616,160,656,160,0,1,0,0,1
624,160,656,160,0,1,0,0,1
632,160,656,160,0,1,0,0,1
640,160,656,160,0,1,0,0,1
648,160,656,160,0,1,0,0,2
648,152,200,48,0,0,1,0,2
648,144,200,48,0,0,1,0,2
648,136,200,48,0,0,1,0,2
648,128,200,48,0,0,1,0,2
648,120,200,48,0,0,1,0,2
648,112,200,48,0,0,1,0,2
648,104,200,48,0,0,1,0,2
648,96,200,48,0,0,1,0,2
648,88,200,48,0,0,1,0,2
648,80,200,48,0,0,1,0,2
648,72,200,48,0,0,1,0,2
648,64,200,48,0,0,1,0,2
648,56,200,48,0,0,1,0,2
648,48,200,48,0,0,0,1,3
640,48,200,48,0,0,0,1,3
632,48,200,48,0,0,0,1,3
624,48,200,48,0,0,0,1,3
616,48,200,48,0,0,0,1,3
608,48,200,48,0,0,0,1,3
600,48,200,48,0,0,0,1,3
592,48,200,48,0,0,0,1,3
584,48,200,48,0,0,0,1,3
576,48,200,48,0,0,0,1,3
568,48,200,48,0,0,0,1,3
560,48,200,48,0,0,0,1,3
552,48,200,48,0,0,0,1,3
544,48,200,48,0,0,0,1,3
536,48,200,48,0,0,0,1,3
528,48,200,48,0,0,0,1,3
520,48,200,48,0,0,0,1,3
512,48,200,48,0,0,0,1,3
504,48,200,48,0,0,0,1,3
496,48,200,48,0,0,0,1,3
488,48,200,48,0,0,0,1,3
480,48,200,48,0,0,0,1,3
472,48,200,48,0,0,0,1,3
464,48,200,48,0,0,0,1,3
456,48,200,48,0,0,0,1,3
448,48,200,48,0,0,0,1,3
440,48,200,48,0,0,0,1,3
432,48,200,48,0,0,0,1,3
424,48,200,48,0,0,0,1,3
416,48,200,48,0,0,0,1,3
408,48,200,48,0,0,0,1,3
400,48,200,48,0,0,0,1,3
392,48,200,48,0,0,0,1,3
384,48,200,48,0,0,0,1,3
376,48,200,48,0,0,0,1,3
368,48,200,48,0,0,0,1,3
360,48,200,48,0,0,0,1,3
352,48,200,48,0,0,0,1,3
344,48,200,48,0,0,0,1,3
336,48,200,48,0,0,0,1,3
328,48,200,48,0,0,0,1,3
320,48,200,48,0,0,0,1,3
312,48,200,48,0,0,0,1,3
304,48,200,48,0,0,0,1,3
296,48,200,48,0,0,0,1,3
288,48,200,48,0,0,0,1,3
280,48,200,48,0,0,0,1,3
272,48,200,48,0,0,0,1,3
264,48,200,48,0,0,0,1,3
256,48,200,48,0,0,0,1,3
248,48,200,48,0,0,0,1,3
240,48,200,48,0,0,0,1,3
232,48,200,48,0,0,0,1,3
224,48,200,48,0,0,0,1,3
216,48,200,48,0,0,0,1,3
208,48,200,48,0,0,0,1,0
208,56,216,256,1,0,0,0,0
208,64,216,256,1,0,0,0,0
208,72,216,256,1,0,0,0,0
208,80,216,256,1,0,0,0,0
208,88,216,256,1,0,0,0,0
208,96,216,256,1,0,0,0,0
208,104,216,256,1,0,0,0,0
208,112,216,256,1,0,0,0,0
208,120,216,256,1,0,0,0,0
208,128,216,256,1,0,0,0,0
208,136,216,256,1,0,0,0,0
208,144,216,256,1,0,0,0,0
208,152,216,256,1,0,0,0,0
208,160,216,256,1,0,0,0,0
208,168,216,256,1,0,0,0,0
208,176,216,256,1,0,0,0,0
208,184,216,256,1,0,0,0,0
208,192,216,256,1,0,0,0,0
208,200,216,256,1,0,0,0,0
208,208,216,256,1,0,0,0,0
208,216,216,256,1,0,0,0,0
208,224,216,256,1,0,0,0,0
208,232,216,256,1,0,0,0,0
208,240,216,256,1,0,0,0,0
208,248,216,256,1,0,0,0,0
208,256,304,352,1,0,0,0,0
208,264,304,352,1,0,0,0,0
208,272,304,352,1,0,0,0,0
208,280,304,352,1,0,0,0,0
208,288,304,352,1,0,0,0,0
208,296,304,352,1,0,0,0,0
208,304,304,352,1,0,0,0,0
208,312,304,352,1,0,0,0,0
208,320,304,352,1,0,0,0,0
208,328,304,352,1,0,0,0,0
208,336,304,352,1,0,0,0,0
208,344,304,352,1,0,0,0,0
208,352,304,352,0,1,0,0,1
216,352,304,352,0,1,0,0,1
224,352,304,352,0,1,0,0,1
232,352,304,352,0,1,0,0,1
240,352,304,352,0,1,0,0,1
248,352,304,352,0,1,0,0,1
256,352,304,352,0,1,0,0,1
264,352,304,352,0,1,0,0,1
272,352,304,352,0,1,0,0,1
280,352,304,352,0,1,0,0,1
288,352,304,352,0,1,0,0,1
296,352,304,352,0,1,0,0,0
296,360,360,360,0,1,0,0,1
304,360,360,360,0,1,0,0,1
312,360,360,360,0,1,0,0,1
320,360,360,360,0,1,0,0,1
328,360,360,360,0,1,0,0,1
336,360,360,360,0,1,0,0,1
344,360,360,360,0,1,0,0,1
352,360,360,360,0,1,0,0,2
352,352,704,128,0,0,1,0,2
352,344,704,128,0,0,1,0,2
352,336,704,128,0,0,1,0,2
352,328,704,128,0,0,1,0,2
352,320,704,128,0,0,1,0,2
352,312,704,128,0,0,1,0,2
352,304,704,128,0,0,1,0,2
352,296,704,128,0,0,1,0,2
352,288,704,128,0,0,1,0,2
352,280,704,128,0,0,1,0,2
352,272,704,128,0,0,1,0,2
352,264,704,128,0,0,1,0,2
352,256,704,128,0,0,1,0,2
352,248,704,128,0,0,1,0,2
352,240,704,128,0,0,1,0,2
352,232,704,128,0,0,1,0,2
352,224,704,128,0,0,1,0,2
352,216,704,128,0,0,1,0,2
352,208,704,128,0,0,1,0,2
352,200,704,128,0,0,1,0,2
352,192,704,128,0,0,1,0,2
352,184,704,128,0,0,1,0,2
352,176,704,128,0,0,1,0,2
352,168,704,128,0,0,1,0,2
352,160,704,128,0,0,1,0,2
352,152,704,128,0,0,1,0,2
352,144,704,128,0,0,1,0,2
352,136,704,128,0,0,1,0,2
352,128,704,128,0,1,0,0,1
360,128,704,128,0,1,0,0,1
368,128,704,128,0,1,0,0,1
376,128,704,128,0,1,0,0,1
384,128,704,128,0,1,0,0,1
392,128,704,128,0,1,0,0,1
400,128,704,128,0,1,0,0,1
408,128,704,128,0,1,0,0,1
416,128,704,128,0,1,0,0,1
424,128,704,128,0,1,0,0,1
432,128,704,128,0,1,0,0,1
440,128,704,128,0,1,0,0,1
448,128,704,128,0,1,0,0,1
456,128,704,128,0,1,0,0,1
464,128,704,128,0,1,0,0,1
472,128,704,128,0,1,0,0,1
480,128,704,128,0,1,0,0,1
488,128,704,128,0,1,0,0,1
496,128,704,128,0,1,0,0,1
504,128,704,128,0,1,0,0,1
512,128,704,128,0,1,0,0,1
520,128,704,128,0,1,0,0,1
528,128,704,128,0,1,0,0,1
536,128,704,128,0,1,0,0,1
544,128,704,128,0,1,0,0,1
552,128,704,128,0,1,0,0,1
560,128,704,128,0,1,0,0,1
568,128,704,128,0,1,0,0,1
576,128,704,128,0,1,0,0,1
584,128,704,128,0,1,0,0,1
592,128,704,128,0,1,0,0,1
600,128,704,128,0,1,0,0,1
608,128,704,128,0,1,0,0,1
616,128,704,128,0,1,0,0,1
624,128,704,128,0,1,0,0,1
632,128,704,128,0,1,0,0,1
640,128,704,128,0,1,0,0,1
648,128,704,128,0,1,0,0,1
656,128,704,128,0,1,0,0,1
664,128,704,128,0,1,0,0,1
672,128,704,128,0,1,0,0,1
680,128,704,128,0,1,0,0,1
688,128,704,128,0,1,0,0,1
696,128,704,128,0,1,0,0,2
696,120,328,112,0,0,1,0,2
696,112,328,112,0,0,0,1,3
688,112,328,112,0,0,0,1,3
680,112,328,112,0,0,0,1,3
672,112,328,112,0,0,0,1,3
664,112,328,112,0,0,0,1,3
656,112,328,112,0,0,0,1,3
648,112,328,112,0,0,0,1,3
640,112,328,112,0,0,0,1,3
632,112,328,112,0,0,0,1,3
624,112,328,112,0,0,0,1,3
616,112,328,112,0,0,0,1,3
608,112,328,112,0,0,0,1,3
600,112,328,112,0,0,0,1,3
592,112,328,112,0,0,0,1,3
584,112,328,112,0,0,0,1,3
576,112,328,112,0,0,0,1,3
568,112,328,112,0,0,0,1,3
560,112,328,112,0,0,0,1,3
552,112,328,112,0,0,0,1,3
544,112,328,112,0,0,0,1,3
536,112,328,112,0,0,0,1,3
528,112,328,112,0,0,0,1,3
520,112,328,112,0,0,0,1,3
512,112,328,112,0,0,0,1,3
504,112,328,112,0,0,0,1,3
496,112,328,112,0,0,0,1,3
488,112,328,112,0,0,0,1,3
480,112,328,112,0,0,0,1,3
472,112,328,112,0,0,0,1,3
464,112,328,112,0,0,0,1,3
456,112,328,112,0,0,0,1,3
448,112,328,112,0,0,0,1,3
440,112,328,112,0,0,0,1,3
432,112,328,112,0,0,0,1,3
424,112,328,112,0,0,0,1,3
416,112,328,112,0,0,0,1,3
408,112,328,112,0,0,0,1,3
400,112,328,112,0,0,0,1,3
392,112,328,112,0,0,0,1,3
384,112,328,112,0,0,0,1,3
376,112,328,112,0,0,0,1,3
368,112,328,112,0,0,0,1,3
360,112,328,112,0,0,0,1,3
352,112,328,112,0,0,0,1,3
344,112,328,112,0,0,0,1,3
336,112,328,112,0,0,0,1,2
336,104,712,32,0,0,1,0,2
336,96,712,32,0,0,1,0,2
336,88,712,32,0,0,1,0,2
336,80,712,32,0,0,1,0,2
336,72,712,32,0,0,1,0,2
336,64,712,32,0,0,1,0,2
336,56,712,32,0,0,1,0,2
336,48,712,32,0,0,1,0,2
336,40,712,32,0,0,1,0,2
336,32,712,32,0,1,0,0,1
344,32,712,32,0,1,0,0,1
352,32,712,32,0,1,0,0,1
360,32,712,32,0,1,0,0,1
368,32,712,32,0,1,0,0,1
376,32,712,32,0,1,0,0,1
384,32,712,32,0,1,0,0,1
392,32,712,32,0,1,0,0,1
400,32,712,32,0,1,0,0,1
408,32,712,32,0,1,0,0,1
416,32,712,32,0,1,0,0,1
424,32,712,32,0,1,0,0,1
432,32,712,32,0,1,0,0,1
440,32,712,32,0,1,0,0,1
448,32,712,32,0,1,0,0,1
456,32,712,32,0,1,0,0,1
464,32,712,32,0,1,0,0,1
472,32,712,32,0,1,0,0,1
480,32,712,32,0,1,0,0,1
488,32,712,32,0,1,0,0,1
496,32,712,32,0,1,0,0,1
504,32,712,32,0,1,0,0,1
512,32,712,32,0,1,0,0,1
520,32,712,32,0,1,0,0,1
528,32,712,32,0,1,0,0,1
536,32,712,32,0,1,0,0,1
544,32,712,32,0,1,0,0,1
552,32,712,32,0,1,0,0,1
560,32,712,32,0,1,0,0,1
568,32,712,32,0,1,0,0,1
576,32,712,32,0,1,0,0,1
584,32,712,32,0,1,0,0,1
592,32,712,32,0,1,0,0,1
600,32,712,32,0,1,0,0,1
608,32,712,32,0,1,0,0,1
616,32,712,32,0,1,0,0,1
624,32,712,32,0,1,0,0,1
632,32,712,32,0,1,0,0,1
640,32,712,32,0,1,0,0,1
648,32,712,32,0,1,0,0,1
656,32,712,32,0,1,0,0,1
664,32,712,32,0,1,0,0,1
672,32,712,32,0,1,0,0,1
680,32,712,32,0,1,0,0,1
688,32,712,32,0,1,0,0,1
696,32,712,32,0,1,0,0,1
704,32,712,32,0,1,0,0,0
704,40,576,96,1,0,0,0,0
704,48,576,96,1,0,0,0,0
704,56,576,96,1,0,0,0,0
704,64,576,96,1,0,0,0,0
704,72,576,96,1,0,0,0,0
704,80,576,96,1,0,0,0,0
704,88,576,96,1,0,0,0,0
704,96,576,96,0,0,0,1,3
696,96,576,96,0,0,0,1,3
688,96,576,96,0,0,0,1,3
680,96,576,96,0,0,0,1,3
672,96,576,96,0,0,0,1,3
664,96,576,96,0,0,0,1,3
656,96,576,96,0,0,0,1,3
648,96,576,96,0,0,0,1,3
640,96,576,96,0,0,0,1,3
632,96,576,96,0,0,0,1,3
624,96,576,96,0,0,0,1,3
616,96,576,96,0,0,0,1,3
608,96,576,96,0,0,0,1,3
600,96,576,96,0,0,0,1,3
592,96,576,96,0,0,0,1,3
584,96,576,96,0,0,0,1,0
584,104,272,232,1,0,0,0,0
584,112,272,232,1,0,0,0,0
584,120,272,232,1,0,0,0,0
584,128,272,232,1,0,0,0,0
584,136,272,232,1,0,0,0,0
584,144,272,232,1,0,0,0,0
584,152,272,232,1,0,0,0,0
584,160,272,232,1,0,0,0,0
584,168,272,232,1,0,0,0,0
584,176,272,232,1,0,0,0,0
584,184,272,232,1,0,0,0,0
584,192,272,232,1,0,0,0,0
584,200,272,232,1,0,0,0,0
584,208,272,232,1,0,0,0,0
584,216,272,232,1,0,0,0,0
584,224,272,232,1,0,0,0,0
584,232,272,232,0,0,0,1,3
576,232,272,232,0,0,0,1,3
568,232,272,232,0,0,0,1,3
560,232,272,232,0,0,0,1,3
552,232,272,232,0,0,0,1,3
544,232,272,232,0,0,0,1,3
536,232,272,232,0,0,0,1,3
528,232,272,232,0,0,0,1,3
520,232,272,232,0,0,0,1,3
512,232,272,232,0,0,0,1,3
504,232,272,232,0,0,0,1,3
496,232,272,232,0,0,0,1,3
488,232,272,232,0,0,0,1,3
480,232,272,232,0,0,0,1,3
472,232,272,232,0,0,0,1,3
464,232,272,232,0,0,0,1,3
456,232,272,232,0,0,0,1,3
448,232,272,232,0,0,0,1,3
440,232,272,232,0,0,0,1,3
432,232,272,232,0,0,0,1,3
424,232,272,232,0,0,0,1,3
416,232,272,232,0,0,0,1,3
408,232,272,232,0,0,0,1,3
400,232,272,232,0,0,0,1,3
392,232,272,232,0,0,0,1,3
384,232,272,232,0,0,0,1,3
376,232,272,232,0,0,0,1,3
368,232,272,232,0,0,0,1,3
360,232,272,232,0,0,0,1,3
352,232,272,232,0,0,0,1,3
344,232,272,232,0,0,0,1,3
336,232,272,232,0,0,0,1,3
328,232,272,232,0,0,0,1,3
320,232,272,232,0,0,0,1,3
312,232,272,232,0,0,0,1,3
304,232,272,232,0,0,0,1,3
296,232,272,232,0,0,0,1,3
288,232,272,232,0,0,0,1,3
280,232,272,232,0,0,0,1,2
280,224,104,112,0,0,1,0,2
280,216,104,112,0,0,1,0,2
280,208,104,112,0,0,1,0,2
280,200,104,112,0,0,1,0,2
280,192,104,112,0,0,1,0,2
280,184,104,112,0,0,1,0,2
280,176,104,112,0,0,1,0,2
280,168,104,112,0,0,1,0,2
280,160,104,112,0,0,1,0,2
280,152,104,112,0,0,1,0,2
280,144,104,112,0,0,1,0,2
280,136,104,112,0,0,1,0,2
280,128,104,112,0,0,1,0,2
280,120,104,112,0,0,1,0,2
280,112,104,112,0,0,0,1,3
272,112,104,112,0,0,0,1,3
264,112,104,112,0,0,0,1,3
256,112,104,112,0,0,0,1,3
248,112,104,112,0,0,0,1,3
240,112,104,112,0,0,0,1,3
232,112,104,112,0,0,0,1,3
224,112,104,112,0,0,0,1,3
216,112,104,112,0,0,0,1,3
208,112,104,112,0,0,0,1,3
200,112,104,112,0,0,0,1,3
192,112,104,112,0,0,0,1,3
184,112,104,112,0,0,0,1,3
176,112,104,112,0,0,0,1,3
168,112,104,112,0,0,0,1,3
160,112,104,112,0,0,0,1,3
152,112,104,112,0,0,0,1,3
144,112,104,112,0,0,0,1,3
136,112,104,112,0,0,0,1,3
128,112,104,112,0,0,0,1,3
120,112,104,112,0,0,0,1,3
112,112,104,112,0,0,0,1,0
112,120,544,136,1,0,0,0,0
112,128,544,136,1,0,0,0,0
112,136,544,136,0,1,0,0,1
120,136,544,136,0,1,0,0,1
128,136,544,136,0,1,0,0,1
136,136,544,136,0,1,0,0,1
144,136,544,136,0,1,0,0,1
152,136,544,136,0,1,0,0,1
160,136,544,136,0,1,0,0,1
168,136,544,136,0,1,0,0,1
176,136,544,136,0,1,0,0,1
184,136,544,136,0,1,0,0,1
192,136,544,136,0,1,0,0,1
200,136,544,136,0,1,0,0,1
208,136,544,136,0,1,0,0,1
216,136,544,136,0,1,0,0,1
224,136,544,136,0,1,0,0,1
232,136,544,136,0,1,0,0,1
240,136,544,136,0,1,0,0,1
248,136,544,136,0,1,0,0,1
256,136,544,136,0,1,0,0,1
264,136,544,136,0,1,0,0,1
272,136,544,136,0,1,0,0,1
